"Year","Quarter ID","Quarter","Month ID","Month","Day","Time ID","Time","Nation ID","Nation","State ID","State","Accum Cases","Daily Cases","AVG 7 Days Accum Cases","AVG 7 Days Daily Cases","Rate Daily Cases","Rate Accum Cases","Days from 50 Cases","Style"
2020,1,"Q1",3,"2020-03",28,20200328,"2020-03-28","mex","México",30,"Veracruz de Ignacio de la Llave",31,1,24.571428298950195,2.142857074737549,0.011709790676832199,0.36300352215766907,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",7,"Chiapas",13,0,8.857142448425293,1.5714285373687744,0,0.22686156630516052,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",12,"Guerrero",27,1,19.714284896850586,2.142857074737549,0.027344459667801857,0.7383003830909729,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",20,"Oaxaca",19,2,13.714285850524902,1.8571428060531616,0.048267289996147156,0.4585392475128174,0,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",21,"Puebla",115,4,86.28571319580078,10.285714149475098,0.06056521460413933,1.741249918937683,7,"solid"
2020,1,"Q1",3,"2020-03",29,20200329,"2020-03-29","mex","México",30,"Veracruz de Ignacio de la Llave",32,1,26.85714340209961,2.2857143878936768,0.011709790676832199,0.37471330165863037,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",7,"Chiapas",15,2,10.285714149475098,1.4285714626312256,0.034901779145002365,0.261763334274292,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",12,"Guerrero",29,2,22,2.2857143878936768,0.054688919335603714,0.7929893136024475,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",20,"Oaxaca",21,2,15.571428298950195,1.8571428060531616,0.048267289996147156,0.5068065524101257,0,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",21,"Puebla",131,16,97.71428680419922,11.428571701049805,0.2422608584165573,1.9835108518600464,8,"solid"
2020,1,"Q1",3,"2020-03",30,20200330,"2020-03-30","mex","México",30,"Veracruz de Ignacio de la Llave",36,4,29.14285659790039,2.2857143878936768,0.046839162707328796,0.42155247926712036,0,"solid"
